team1_kills,team1_gold,team1_towers,team2_kills,team2_gold,team2_towers,game_duration,patch_major,patch_minor,days_since_patch,team1_recent_winrate,team1_recent_kda,team1_recent_gpm,team1_recent_dpm,team2_recent_winrate,team2_recent_kda,team2_recent_gpm,team2_recent_dpm
18.0,19804.878441791745,6.0,22.0,38451.059638341285,3.0,2229.85812219444,14.0,23.0,9.0,0.5202408446492071,1.9241649437354607,373.2614237688229,567.4620873700625,0.46182904640266287,1.9611230402409985,499.99477352925135,432.6067927655142
10.0,51838.495447536945,2.0,9.0,37169.28010269612,2.0,2493.4396272725353,14.0,23.0,3.0,0.43717508192768484,1.6431619653026166,394.06176314648354,468.5521436543396,0.5907280560444779,2.272360769886268,419.057527879361,633.4986683905455
16.0,68005.11181510854,5.0,18.0,45797.317258891446,7.0,-184.73997149843308,14.0,23.0,6.0,0.5118109588606348,2.420081471936808,412.0606844162425,405.2449862225628,0.6203769985380627,3.4478303234833536,425.67171252838176,509.81898747461577
19.0,62389.46352939437,5.0,12.0,70620.51153006859,4.0,1709.1822578545546,14.0,23.0,20.0,0.6396586828283475,2.582155692034073,498.4846533014179,515.129227151225,0.6311556719996825,2.724983765574441,322.3039648923995,586.280773517753
11.0,52096.59415274626,7.0,23.0,45979.237405601496,10.0,74.53594342303495,14.0,23.0,9.0,0.3553052806525149,3.4994361940138217,451.24678843720346,564.3056178631925,0.6091533254884862,2.573996244325913,380.6762943331969,677.3081236791901
13.0,45083.63814367953,5.0,11.0,53646.263539420506,8.0,1729.0749326574323,14.0,23.0,1.0,0.3526034644965082,2.281906242247314,307.17815285154205,454.95712028604,0.6323013823713999,2.310999931102148,472.14497969657793,572.6516730334133
14.0,58071.2259663731,4.0,11.0,55570.97958570995,6.0,1795.697273411204,14.0,23.0,9.0,0.6418850060440711,2.3786671968431743,442.54246564130256,524.366465758368,0.45504639183362916,2.751686036486393,466.85439473166645,591.3100535073663
16.0,40264.53800295531,5.0,13.0,39084.70890963841,7.0,310.4736084534968,14.0,23.0,12.0,0.6897905833873037,2.035783769514105,464.8463496823517,584.556979197688,0.5230669565396486,2.660039726320867,404.47982207226437,592.8587693395408
12.0,54763.57769356219,11.0,14.0,45648.93149387861,3.0,2954.9030172479193,14.0,23.0,4.0,0.5757333423561826,1.3691930945964392,479.12614777687725,614.4769379263373,0.6343530846271739,3.257102230652455,480.6908299475545,583.7197557275546
14.0,55054.70159166627,7.0,15.0,56244.15138932524,4.0,1971.609484580775,14.0,23.0,26.0,0.3908205070337327,1.758311600701496,384.8012205804803,415.8227589719612,0.6771842708023228,2.3545882634115567,328.5874036411436,447.93081324428624
